STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
Maine,ME,"724,758","713,180","1,063,754",1.80%,0,0,0,0,,"1,044,606",69.38%,68.13%
Maryland,MD,"2,734,062","2,707,327","4,552,894",8.90%,20871,96640,13195,"85,285",,"4,062,401",67.30%,60.05%
Massachusetts,MA,"3,184,196","3,167,767","5,278,131",8.40%,"10,283",0,0,"10,283",,"4,824,485",66.00%,60.33%
Michigan,MI,"4,780,701","4,730,961","7,637,478",3.50%,"43,019",0,0,"43,019",,"7,327,148",65.25%,62.60%
Minnesota,MN,"2,950,780","2,936,561","4,111,021",4.40%,"9,383","108,157","6,006","72,712",,"3,857,424",76.50%,71.78%
Mississippi,MS,"1,285,584","1,285,584","2,245,738",1.50%,"22,305","30,768","6,804","45,416",,"2,166,636",59.34%,57.25%
Missouri,MO,"2,840,776","2,757,323","4,627,371",2.50%,"30,714","55,470","20,672","80,785",,"4,430,901",64.11%,61.39%
Montana,MT,"491,966","484,048","783,676",0.90%,"3,592",0,0,"3,592",,"773,031",63.64%,62.78%
Nebraska,NE,"804,245","794,379","1,394,124",4.70%,"4,466","14,260",1383,"13,407",,"1,315,193",61.15%,57.69%
Nevada,NV,"1,016,664","1,014,918","2,099,011",13.30%,"12,883",11321,5379,"24,262",,"1,795,581",56.62%,48.44%
New Hampshire,NH,"718,700","710,972","1,050,220",3.00%,"2,672",0,0,"2,672",,"1,016,041",70.74%,68.43%
New Jersey,NJ,"3,683,638","3,640,292","6,826,144",12.10%,"21,759",114886,14987,"97,636",,"5,902,545",62.41%,53.96%
New Mexico,NM,"786,522","783,757","1,576,959",7.30%,"6,553","21,381","5,078","22,963",,"1,438,878",54.66%,49.88%
New York,NY,"7,128,852","7,074,723","15,334,363",12.50%,"49,889",0,46222,"96,111",,"13,321,457",53.51%,46.49%
North Carolina,NC,"4,542,488","4,505,372","7,500,448",6.10%,"35,567",96070,4359,"90,843",,"6,952,078",65.34%,60.56%
North Dakota,ND,"325,564","322,627","548,770",1.70%,"1,500",0,0,"1,500",,"537,941",60.52%,59.33%
Ohio,OH,"5,632,423","5,580,822","8,894,484",2.20%,"50,313",0,0,"50,313",,"8,648,493",65.13%,63.32%
Oklahoma,OK,"1,343,380","1,334,872","2,886,686",4.50%,"25,225","25,506","2,310","41,053",,"2,715,732",49.47%,46.54%
Oregon,OR,"1,820,507","1,789,270","3,046,864",6.60%,"13,607",0,0,"13,607",,"2,832,164",64.28%,59.75%
Pennsylvania,PA,"5,783,621","5,742,040","10,037,436",3.30%,"50,054",0,0,"50,054",,"9,656,146",59.90%,57.62%
Rhode Island,RI,"451,593","446,049","838,169",7.50%,"3,249",0,0,"3,249",,"772,057",58.49%,53.88%
South Carolina,SC,"1,981,516","1,964,118","3,656,261",3.50%,"21,895","34,945","6,116","46,532",,"3,481,760",56.91%,54.20%
South Dakota,SD,"368,270","363,815","630,180",1.90%,"3,574",0,"2,761","6,335",,"611,872",60.19%,58.44%
Tennessee,TN,"2,479,733","2,458,577","4,975,501",3.30%,"28,135","64,430","13,138","75,421",,"4,735,888",52.36%,49.84%
Texas,TX,"7,993,851","7,993,851","19,204,782",13.50%,"157,564","405,473","112,288","484,753",,"16,127,383",49.57%,41.62%
Utah,UT,"1,028,786","1,017,440","1,976,573",7.00%,"6,611",0,0,"6,611",,"1,831,602",56.17%,52.05%
Vermont,VT,"301,793","299,290","501,853",1.80%,0,0,0,0,,"492,820",61.24%,60.14%
Virginia,VA,"3,888,186","3,854,489","6,345,002",7.10%,"36,425","52,956","1,983","66,475",,"5,828,032",66.72%,61.28%
Washington,WA,"3,172,939","3,125,516","5,329,262",8.20%,"16,355","88,339","8,895","72,070",,"4,820,193",65.83%,59.54%
West Virginia,WV,"685,099","670,438","1,472,182",0.80%,"7,052","8,573","2,052","13,648",,"1,446,756",47.35%,46.54%
Wisconsin,WI,"3,084,115","3,068,434","4,411,462",3.20%,"21,987","46,328","20,023","66,564",,"4,203,731",73.37%,69.91%
Wyoming,WY,"250,701","249,061","441,429",2.50%,"2,163","5,162",762,"5,661",,"424,733",59.03%,56.79%
